Accuracy,AUPR,AUC,F1 Score,Precision,Recall
0.7649205667668527,0.7442295967665932,0.8223135175532614,0.6787914344382517,0.5300652846180277,0.9435270132517839
0.8846071275225419,0.7990951488904559,0.8324201829237659,0.7622733303847855,0.8023743016759777,0.7259898904802022
0.921720695577501,0.7504129872097257,0.7813212719309302,0.6918119387216058,0.8572924849437026,0.5798795607509741
0.9696758265349935,0.757376493931472,0.8012699229362635,0.7197420634920634,0.8815309842041312,0.6081307627829002
0.9822080291970803,0.7382416471648752,0.7715668655768667,0.6832298136645962,0.9154929577464789,0.5449695121951219
0.9869847574066123,0.778868277744051,0.8114488630029115,0.7446024223275408,0.9217731421121251,0.6245583038869258
0.9814834693001289,0.6571919219223485,0.7559961821330129,0.6225382932166302,0.7837465564738292,0.5163339382940109
0.9848915843709747,0.7234650596426347,0.7903627877589495,0.6925177498634626,0.851006711409396,0.583793738489871
0.986152855302705,0.6028815988637561,0.7678100588795284,0.5930599369085173,0.6561954624781849,0.5410071942446043
0.9930495920996135,0.7632682349062224,0.7712295298060005,0.6977829638273045,0.9771241830065359,0.542649727767695
0.9961088449978531,0.791821927343672,0.8202387479335292,0.7619047619047619,0.9392712550607287,0.6408839779005525
0.995223271790468,0.7053315747057731,0.8261237631532268,0.7003367003367003,0.7536231884057971,0.6540880503144654
0.9944987118935166,0.5057105628139333,0.6140696090424609,0.35331230283911674,0.7777777777777778,0.22857142857142856
0.997128595963933,0.7787338840645747,0.7877145823077063,0.7249357326478149,0.9791666666666666,0.5755102040816327
0.9956526406182911,0.49725377416069705,0.5903176454114952,0.2956521739130435,0.8095238095238095,0.18085106382978725
0.9975042936882782,0.715689799835356,0.7211986437598988,0.610878661087866,0.9864864864864865,0.44242424242424244
0.9988729068269644,0.8707182169945976,0.8742196521086611,0.8531468531468532,0.991869918699187,0.7484662576687117
0.9965382138256763,0.5225342403637303,0.6319137684236218,0.39436619718309857,0.7777777777777778,0.2641509433962264
