Accuracy,AUPR,AUC,F1 Score,Precision,Recall
0.939432159725204,0.9001790414344145,0.9304298128341749,0.8879288941854114,0.8656210668990222,0.9114169215086646
0.9600150279089739,0.9309180797709864,0.9533868845169641,0.9229576008273009,0.9066436407964242,0.9398694187026116
0.9526620867325032,0.8547960329279981,0.9032882057546373,0.841992117520602,0.8517578832910475,0.832447750619908
0.9829325890940318,0.8685587049757209,0.9139658020987249,0.8623376623376624,0.891674127126231,0.8348700754400671
0.9924860455130957,0.8930472530316251,0.9270741747804662,0.8892405063291139,0.9243421052631579,0.8567073170731707
0.9954111206526406,0.9246926964833017,0.9497135845441469,0.9226594301221167,0.9453197405004634,0.901060070671378
0.9911979390296265,0.8502818457500244,0.9101254477858309,0.8470149253731344,0.8714011516314779,0.8239564428312159
0.9932374409617861,0.8877880765479188,0.9491792525335393,0.8860759493670887,0.8703374777975134,0.9023941068139963
0.9890779304422499,0.7117773970448529,0.853990593518786,0.7090779127948535,0.7045454545454546,0.7136690647482015
0.9977189781021898,0.9229255571446644,0.956832744381135,0.9222323879231472,0.9298892988929889,0.9147005444646098
0.9986045513095749,0.9276590452287703,0.9555301169500463,0.9269662921348315,0.9428571428571428,0.9116022099447514
0.9973164448261056,0.8449411409398927,0.9253833658982836,0.8442367601246106,0.8364197530864198,0.8522012578616353
0.9944718763417776,0.5178705596250411,0.7052850411619846,0.4950980392156863,0.6196319018404908,0.4122448979591837
0.9987387290682697,0.9042112872431489,0.9507097568760885,0.9038854805725972,0.9057377049180327,0.9020408163265307
0.998121511378274,0.8037857062524645,0.8535211170614472,0.7916666666666667,0.8986486486486487,0.7074468085106383
0.9985777157578359,0.8340925680159257,0.8967136253774709,0.8317460317460317,0.8733333333333333,0.793939393939394
0.9998658222413053,0.9847296655664639,0.9846625766871165,0.9844236760124611,1.0,0.9693251533742331
0.998094675826535,0.7612411079946935,0.8299595996064203,0.7473309608540925,0.860655737704918,0.660377358490566
0.9993559467582653,0.9259080400075244,0.9713168636960007,0.9254658385093167,0.9085365853658537,0.9430379746835443
0.9996779733791327,0.9608173302226691,0.9675055206178892,0.9600000000000001,0.9863013698630136,0.935064935064935
0.9995974667239158,0.9413872619154603,0.976069306499055,0.9411764705882352,0.9302325581395349,0.9523809523809523
0.9991412623443539,0.8433519393158724,0.9213533537843317,0.8431372549019607,0.8431372549019608,0.8431372549019608
0.9992217689995706,0.8511017350194139,0.9098520073189107,0.849740932642487,0.8817204301075269,0.82
