Accuracy,AUPR,AUC,F1 Score,Precision,Recall
0.8660369257191928,0.7979124628260984,0.8634222590255134,0.7712609970674487,0.7005160645913101,0.8579001019367992
0.9066122799484757,0.8455257669041815,0.8968697672397871,0.827175208581645,0.7827067669172932,0.8770008424599831
0.9147434521253757,0.7311692230843865,0.8143821265488902,0.7043826184051363,0.7420113703195452,0.6703861140630535
0.9738890081580077,0.7963942494653158,0.8708715452022033,0.786856516976999,0.8242312987608995,0.7527242246437552
0.9849184199227136,0.7782207935116442,0.85044863340823,0.7671913835956918,0.8402903811252269,0.7057926829268293
0.9808394160583942,0.6553831505825498,0.7304097774199745,0.5952380952380953,0.8306962025316456,0.4637809187279152
0.977592314297982,0.5688179948378365,0.7034035236274434,0.5209409064830752,0.7082683307332294,0.41197822141560797
0.9846768999570631,0.7377107867455893,0.8581330829242398,0.7335510965935605,0.7436140018921475,0.7237569060773481
0.9871726062687849,0.6199982952001762,0.7535088394049998,0.5976430976430976,0.7200811359026369,0.5107913669064749
0.9945792185487333,0.8115047683082637,0.884627376239584,0.8079847908745248,0.8483033932135728,0.7713248638838476
0.995223271790468,0.7360905314898538,0.7951736284637434,0.7062706270627063,0.8770491803278688,0.5911602209944752
0.9965113782739373,0.7842317595625964,0.8517140603301027,0.7750865051903114,0.8615384615384616,0.7044025157232704
0.9944987118935166,0.49881257247424515,0.6627250430143153,0.43835616438356156,0.6666666666666666,0.32653061224489793
0.9975311292400172,0.8038787546477416,0.8730641904240019,0.7991266375545851,0.8591549295774648,0.746938775510204
0.9964577071704595,0.5999204639923993,0.6992118546608117,0.5319148936170214,0.7978723404255319,0.39893617021276595
0.9975042936882782,0.6903868548082802,0.7755015041653496,0.6618181818181817,0.8272727272727273,0.5515151515151515
0.9990875912408759,0.8930646695833807,0.9170835770305664,0.8888888888888888,0.951048951048951,0.8343558282208589
0.9969407471017604,0.5880167278314714,0.704133010265785,0.5327868852459016,0.7647058823529411,0.4088050314465409
0.9986045513095749,0.8514884469982137,0.9551841559623576,0.8470588235294118,0.7912087912087912,0.9113924050632911
0.9993022756547875,0.9139047191537532,0.9349840943212002,0.9115646258503401,0.9571428571428572,0.8701298701298701
0.9987118935165307,0.8240465645838199,0.936077110938439,0.8208955223880596,0.7746478873239436,0.873015873015873
0.9990875912408759,0.8293124731644482,0.9017724198554078,0.8282828282828283,0.8541666666666666,0.803921568627451
0.9988997423787033,0.7874233564846489,0.8747847379184156,0.7853403141361257,0.8241758241758241,0.75
0.9987655646200085,0.7385954364974296,0.8051420892622744,0.7160493827160493,0.8656716417910447,0.6105263157894737
0.9974506225848003,0.18416519654513658,0.5162236419184145,0.05940594059405941,0.3333333333333333,0.03260869565217391
0.9987118935165307,0.6798215815533692,0.8022539837168385,0.6712328767123288,0.7538461538461538,0.6049382716049383
0.9985777157578359,0.6121024969377267,0.6947245214516035,0.5309734513274337,0.8333333333333334,0.38961038961038963
0.9988460712752254,0.7080863866227757,0.8463977699498956,0.7074829931972788,0.7222222222222222,0.6933333333333334
0.9986582224130528,0.6006172176899957,0.6713747993147898,0.4897959183673469,0.8571428571428571,0.34285714285714286
0.9990875912408759,0.7631595057131688,0.9027027937977666,0.7605633802816901,0.72,0.8059701492537313
0.999033920137398,0.6904932821668814,0.7733434139784945,0.660377358490566,0.8333333333333334,0.546875
0.999033920137398,0.6874387543456281,0.7338306473290545,0.6170212765957447,0.90625,0.46774193548387094
0.9985508802060971,0.4230959213879977,0.5762174302251156,0.25,0.6923076923076923,0.15254237288135594
0.9993022756547875,0.7596727442321229,0.8275055747404478,0.7450980392156864,0.8636363636363636,0.6551724137931034
0.9996779733791327,0.8920067162477745,0.9122538250913925,0.8867924528301887,0.9591836734693877,0.8245614035087719
0.9993559467582653,0.7720008955805282,0.8635154251537385,0.7692307692307693,0.8163265306122449,0.7272727272727273
0.9997316444826105,0.9060634126381228,0.944390695452238,0.9056603773584906,0.9230769230769231,0.8888888888888888
0.999033920137398,0.6144912920988603,0.6666397943371043,0.48571428571428565,0.8947368421052632,0.3333333333333333
0.9986313868613139,0.1358481348743877,0.5101637753045596,0.037735849056603765,0.25,0.02040816326530612
0.9994096178617432,0.7537003244120033,0.8228494912582403,0.738095238095238,0.8611111111111112,0.6458333333333334
0.9994364534134822,0.7439719274891615,0.795414244541058,0.7123287671232877,0.896551724137931,0.5909090909090909
0.9996511378273937,0.8541209106956209,0.9317241463533781,0.853932584269663,0.8444444444444444,0.8636363636363636
0.9991680978960927,0.5449783015395939,0.6874194068343005,0.4918032786885245,0.7142857142857143,0.375
0.9997584800343495,0.8840224958596576,0.9124731356114334,0.88,0.9428571428571428,0.825
0.9995974667239158,0.8017739165362401,0.8499597034171502,0.7887323943661972,0.9032258064516129,0.7
0.9992217689995706,0.49219234530795286,0.6029143164114961,0.3255813953488372,0.7777777777777778,0.20588235294117646
0.9998121511378274,0.8987797491259277,0.9558286328229921,0.8985507246376812,0.8857142857142857,0.9117647058823529
0.9995974667239158,0.6043545155288392,0.6666532413249917,0.48275862068965514,0.875,0.3333333333333333
0.9996779733791327,0.7001610133104337,0.7,0.5714285714285715,1.0,0.4
0.9997048089308717,0.5834675110920282,0.6666532434875209,0.47619047619047616,0.8333333333333334,0.3333333333333333
0.9998389866895664,0.7522038410160995,0.8076788852338503,0.7272727272727274,0.8888888888888888,0.6153846153846154
0.9996779733791327,0.5001610133104336,0.5,0.0,0.0,0.0
0.999973164448261,0.9545454545454546,0.9999865786224298,0.9523809523809523,0.9090909090909091,1.0
0.9999463288965221,0.900026835551739,0.9,0.888888888888889,1.0,0.8
0.9998926577930443,0.7778314488812557,0.7777777777777778,0.7142857142857143,1.0,0.5555555555555556
0.9997048089308717,0.00012075998282524689,0.4999731579653738,0.0,0.0,0.0
0.9999463288965221,0.8889157244406278,0.8888888888888888,0.8750000000000001,1.0,0.7777777777777778
0.9998926577930443,0.7143393853891922,0.7142857142857143,0.6,1.0,0.42857142857142855
0.9999194933447831,0.7738363593612628,0.8571294368460002,0.7692307692307692,0.8333333333333334,0.7142857142857143
0.9999463288965221,0.8333601688850722,0.8333333333333333,0.8,1.0,0.6666666666666666
0.9999194933447831,0.675026835551739,0.7999865804235219,0.6666666666666665,0.75,0.6
1.0,1.0,1.0,1.0,1.0,1.0
0.9998658222413053,0.5000670888793474,0.5,0.0,0.0,0.0
0.9998658222413053,0.5000670888793474,0.5,0.0,0.0,0.0
0.9998389866895664,6.708887934735938e-05,0.49998658042352184,0.0,0.0,0.0
