Accuracy,AUPR,AUC,F1 Score,Precision,Recall
0.939432159725204,0.9002601181017406,0.9315435208199618,0.8883060325629732,0.8632297778205251,0.9148827726809379
0.9611689566337484,0.9329913115656189,0.9531563821501393,0.9247881906543999,0.9130657908241815,0.93681550126369
0.9531719622155431,0.8569884325609565,0.9079533371797279,0.8450954283177984,0.8471258231001958,0.843074743181013
0.9836571489909832,0.8737808888215577,0.9096675841985333,0.866006600660066,0.9115331171838814,0.8248113998323554
0.9931300987548304,0.9023513821007162,0.929611093924691,0.8982511923688394,0.9385382059800664,0.8612804878048781
0.9956258050665522,0.9283596059387562,0.9541028693768706,0.9266756635177689,0.9440879926672777,0.9098939929328622
0.9913321167883211,0.8517372892101438,0.9062355365766332,0.8477133427628476,0.8822374877330716,0.8157894736842105
0.9929959209961357,0.8839621664726135,0.947715113740359,0.8821670428893905,0.8653675819309123,0.8996316758747698
0.9896414770287677,0.734229875770178,0.8747445206076382,0.7311977715877437,0.708502024291498,0.7553956834532374
0.9975579647917561,0.9167778307602854,0.9469189889713525,0.9155060352831941,0.9372623574144486,0.8947368421052632
0.9983361957921855,0.9133113480642019,0.9444532943909072,0.9121813031161473,0.936046511627907,0.8895027624309392
0.9973969514813225,0.8493428052437859,0.9269827594718384,0.8486739469578783,0.8421052631578947,0.8553459119496856
0.9945792185487333,0.5411265607116366,0.7296667844587253,0.5280373831775701,0.6174863387978142,0.46122448979591835
0.9987655646200085,0.9049349682410626,0.9426140244584827,0.9041666666666667,0.9234042553191489,0.8857142857142857
0.9978799914126234,0.7776216768488277,0.8507536560899636,0.7696793002915452,0.8516129032258064,0.7021276595744681
0.9985777157578359,0.8335982052840147,0.8936967997993901,0.8306709265175719,0.8783783783783784,0.7878787878787878
0.9997853155860884,0.9754368184172534,0.9785141306362685,0.975,0.9936305732484076,0.9570552147239264
0.9978263203091455,0.7305580647077725,0.8360872045080296,0.7254237288135592,0.7867647058823529,0.6729559748427673
0.9991949334478317,0.9065660547775048,0.9586316860284632,0.90625,0.8950617283950617,0.9177215189873418
0.9996779733791327,0.9608173302226691,0.9675055206178892,0.9600000000000001,0.9863013698630136,0.935064935064935
0.9994632889652211,0.9230737224108841,0.9720471993346138,0.9224806201550387,0.9015151515151515,0.9444444444444444
0.9993291112065265,0.8810211119716324,0.9507785730943795,0.8803827751196173,0.8598130841121495,0.9019607843137255
0.999060755689137,0.818866619640557,0.8898250995587128,0.8167539267015708,0.8571428571428571,0.78
0.9994364534134822,0.8873089340102797,0.9314713308062321,0.8864864864864865,0.9111111111111111,0.8631578947368421
0.9995169600686991,0.9034375919756884,0.9563872292843141,0.9032258064516129,0.8936170212765957,0.9130434782608695
0.9995974667239158,0.9094720410467512,0.9628419399147958,0.9090909090909091,0.8928571428571429,0.9259259259259259
0.9989265779304423,0.7344560271916434,0.7467398011943148,0.6551724137931034,0.9743589743589743,0.4935064935064935
0.9995437956204379,0.8848563999809169,0.9332392194824635,0.8843537414965987,0.9027777777777778,0.8666666666666667
0.9992754401030485,0.7959825226055165,0.8427899277149157,0.7804878048780488,0.9056603773584906,0.6857142857142857
0.9994632889652211,0.8471167110124,0.9103402256400873,0.8461538461538461,0.873015873015873,0.8208955223880597
0.9993559467582653,0.8157252470497157,0.9138877688172042,0.8153846153846153,0.803030303030303,0.828125
0.9993559467582653,0.7971083522753214,0.8708602208344678,0.7931034482758621,0.8518518518518519,0.7419354838709677
0.9984972091026192,0.4628401546337054,0.694646473159476,0.4509803921568628,0.5348837209302325,0.3898305084745763
0.9997584800343495,0.9218759213052397,0.956842796953402,0.9217391304347825,0.9298245614035088,0.9137931034482759
0.9997853155860884,0.9285810031795465,0.9473415443896381,0.9272727272727272,0.9622641509433962,0.8947368421052632
0.9994364534134822,0.8110108011353182,0.9089430953899229,0.8108108108108109,0.8035714285714286,0.8181818181818182
0.9999463288965221,0.9815083170332204,0.9814814814814814,0.9811320754716981,1.0,0.9629629629629629
0.9993559467582653,0.7470470670019833,0.8038678239683266,0.7209302325581395,0.8857142857142857,0.6078431372549019
